NDC,ATC
Oxytocin 0.02 UNT/ML Injectable Solution,POSTERIOR PITUITARY LOBE HORMONES
citric acid 60 MG/ML / sodium citrate 100 MG/ML Oral Solution,"DIGESTIVES, INCL. ENZYMES"
ibuprofen 600 MG Oral Tablet,THROAT PREPARATIONS
"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid va...","BACTERIAL AND VIRAL VACCINES, COMBINED"
fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
Ciprofloxacin 10 MG/ML Injectable Solution,QUINOLONE ANTIBACTERIALS
1 ML hydromorphone hydrochloride 2 MG/ML Cartridge,OPIOID ANALGESICS
magnesium citrate 58.2 MG/ML Oral Solution,DRUGS FOR CONSTIPATION
1 ML ketorolac tromethamine 30 MG/ML Injection,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
30 ML bupivacaine hydrochloride 5 MG/ML Injection,LOCAL ANESTHETICS
acetaminophen 650 MG Rectal Suppository [Acephen],OTHER ANALGESICS AND ANTIPYRETICS in ATC
Metoclopramide 10 MG Oral Tablet,PROPULSIVES
piperacillin 4000 MG / tazobactam 500 MG Injection [Zosyn],"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
CEPHALEXIN 250 MG/5 ML SUSP,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
6 ML Clindamycin 150 MG/ML Injection,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
pantoprazole 40 MG Delayed Release Oral Tablet [Protonix],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
nafcillin 2000 MG Injection,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
Acetaminophen 65 MG/ML / Oxycodone Hydrochloride 1 MG/ML Oral Solution [Roxicet],OPIOID ANALGESICS
Cephalexin 500 MG Oral Capsule,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
prochlorperazine 25 MG Rectal Suppository,ANTIPSYCHOTICS
hydrocortisone 25 MG/ML Topical Cream [Proctosol],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
Hydroxyzine Hydrochloride 25 MG/ML Injectable Solution,ANXIOLYTICS
SM FISH OIL CONCENTRATE SFG,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
"0.5 ML Influenza Virus Vaccine, Inactivated A-California-07-2009 X-181 (H1N1) strain 0.03 MG/ML / Influenza Virus Vaccine, Inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain 0.03 MG/ML / Influenza Virus Vaccine, Inactivated B-Brisbane-6",VIRAL VACCINES
lorazepam 0.5 MG Oral Tablet,ANXIOLYTICS
Ondansetron 4 MG Disintegrating Tablet,ANTIEMETICS AND ANTINAUSEANTS
Ketorolac Tromethamine 15 MG/ML Injectable Solution,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
Naproxen 250 MG Oral Tablet,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
polyethylene glycol 3350 236000 MG / potassium chloride 2970 MG / sodium bicarbonate 6740 MG / sodium chloride 5860 MG / sodium sulfate 22740 MG Powder for Oral Solution [Golytely],DRUGS FOR CONSTIPATION
Zinc Oxide 0.4 MG/MG Topical Ointment [Desitin],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
0.5 ML Streptococcus pneumoniae type 1 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 10A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 11A capsular polysaccharide antigen 0.05 MG/ML / Streptococ...,ALL OTHER THERAPEUTIC PRODUCTS
levothyroxine sodium 0.175 MG Oral Tablet [Synthroid],THYROID PREPARATIONS
atorvastatin 10 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox],ANTITHROMBOTIC AGENTS
phenol 14 MG/ML Mucosal Spray,ANTISEPTICS AND DISINFECTANTS
"nitrofurantoin, macrocrystals 25 MG / nitrofurantoin, monohydrate 75 MG Oral Capsule",OTHER ANTIBACTERIALS in ATC
0.5 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML,VIRAL VACCINES
lactulose 667 MG/ML Oral Solution,DRUGS FOR CONSTIPATION
albuterol 0.83 MG/ML Inhalation Solution,"ADRENERGICS, INHALANTS"
ampicillin 1000 MG Injection,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox],ANTITHROMBOTIC AGENTS
0.3 ML enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox],ANTITHROMBOTIC AGENTS
levothyroxine sodium 0.1 MG Injection,THYROID PREPARATIONS
5 ML lidocaine hydrochloride 10 MG/ML Injection [Xylocaine],"ANTIARRHYTHMICS, CLASS I AND III"
lidocaine hydrochloride 0.02 MG/MG Topical Gel,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
lidocaine 0.05 MG/MG Medicated Patch,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
levothyroxine sodium 0.125 MG Oral Tablet [Synthroid],THYROID PREPARATIONS
alteplase 1 MG/ML Injectable Solution [Cathflo Activase],ALL OTHER THERAPEUTIC PRODUCTS
0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox],ANTITHROMBOTIC AGENTS
ciprofloxacin 500 MG Oral Tablet,QUINOLONE ANTIBACTERIALS
metronidazole 500 MG Oral Tablet,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
200 ML ciprofloxacin 2 MG/ML Injection,QUINOLONE ANTIBACTERIALS
50 ML sodium chloride 9 MG/ML Injection,I.V. SOLUTION ADDITIVES
ampicillin 500 MG Injection,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
vitamin B12 0.5 MG Oral Tablet,VITAMIN B<n>12</n> AND FOLIC ACID
ceftazidime 1000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
150 ML vancomycin 5 MG/ML Injection,OTHER ANTIBACTERIALS in ATC
ceftriaxone 1000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
5 ML lidocaine hydrochloride 10 MG/ML Injection,"ANTIARRHYTHMICS, CLASS I AND III"
piperacillin 2000 MG / tazobactam 250 MG Injection [Zosyn],"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
docusate sodium 100 MG Oral Tablet,DRUGS FOR CONSTIPATION
levothyroxine sodium 0.05 MG Oral Tablet [Synthroid],THYROID PREPARATIONS
Docusate Sodium 100 MG Oral Capsule,DRUGS FOR CONSTIPATION
"0.5 ML Influenza Virus Vaccine, Inactivated A-Brisbane-10-2007 (H3N2)-like virus (A-Uruguay-716-2007 NYMC X-175C) strain 0.03 MG/ML / Influenza Virus Vaccine, Inactivated A-Brisbane-59-2007 (H1N1)-like virus (A-Brisbane-59-2007 IVR-148) strain 0.03 MG/ML",ALL OTHER THERAPEUTIC PRODUCTS
Aluminum Hydroxide 40 MG/ML / Magnesium Hydroxide 40 MG/ML / Simethicone 4 MG/ML Oral Suspension [Maalox Plus],ANTACIDS
Nitroglycerin 0.3 MG Sublingual Tablet [Nitroquick],VASODILATORS USED IN CARDIAC DISEASES
Simvastatin 40 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
Levothyroxine Sodium 0.1 MG Oral Tablet [Levoxyl],THYROID PREPARATIONS
captopril 12.5 MG Oral Tablet,"ACE INHIBITORS, PLAIN"
fluoxetine 20 MG Oral Capsule,ANTIDEPRESSANTS
Aspirin 81 MG Delayed Release Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
atenolol 25 MG Oral Tablet,BETA BLOCKING AGENTS
losartan potassium 50 MG Oral Tablet,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN"
levofloxacin 500 MG Oral Tablet,QUINOLONE ANTIBACTERIALS
polyethylene glycol 3350 17000 MG Powder for Oral Solution,DRUGS FOR CONSTIPATION
acetaminophen 325 MG Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
digoxin 0.125 MG Oral Tablet,CARDIAC GLYCOSIDES
apixaban 2.5 MG Oral Tablet [Eliquis],ANTITHROMBOTIC AGENTS
vitamin B12 1 MG/ML Injectable Solution,VITAMIN B<n>12</n> AND FOLIC ACID
simethicone 80 MG Chewable Tablet,ALL OTHER THERAPEUTIC PRODUCTS
Cephalexin 250 MG Oral Capsule,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
NDA019430 0.3 ML epinephrine 1 MG/ML Auto-Injector [Epipen],CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
methylprednisolone 125 MG Injection,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
Hydroxyzine Hydrochloride 25 MG Oral Tablet,ANXIOLYTICS
propranolol hydrochloride 40 MG Oral Tablet,BETA BLOCKING AGENTS
1 ML hydroxyzine hydrochloride 25 MG/ML Injection,ANXIOLYTICS
metolazone 2.5 MG Oral Tablet,"LOW-CEILING DIURETICS, EXCL. THIAZIDES"
spironolactone 100 MG Oral Tablet,POTASSIUM-SPARING DIURETICS
Esomeprazole 20 MG Delayed Release Oral Capsule [Nexium],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
HYDROCERIN CREAM,ALL OTHER THERAPEUTIC PRODUCTS
24 HR amphetamine aspartate 1.25 MG / amphetamine sulfate 1.25 MG / dextroamphetamine saccharate 1.25 MG / dextroamphetamine sulfate 1.25 MG Extended Release Oral Capsule,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
Trimethoprim 100 MG Oral Tablet,SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE
24 HR propranolol hydrochloride 80 MG Extended Release Oral Capsule [Inderal],BETA BLOCKING AGENTS
Ibuprofen 400 MG Oral Tablet,VITAMIN B<n>12</n> AND FOLIC ACID
nitroglycerin 0.3 MG Sublingual Tablet,VASODILATORS USED IN CARDIAC DISEASES
hydrochlorothiazide 25 MG Oral Tablet,"LOW-CEILING DIURETICS, THIAZIDES"
mesalamine 400 MG Delayed Release Oral Capsule [Delzicol],INTESTINAL ANTIINFLAMMATORY AGENTS
diazepam 2 MG Oral Tablet,ANXIOLYTICS
24 HR felodipine 2.5 MG Extended Release Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
isosorbide dinitrate 10 MG Oral Tablet,VASODILATORS USED IN CARDIAC DISEASES
memantine hydrochloride 10 MG Oral Tablet [Namenda],ANTI-DEMENTIA DRUGS
torsemide 20 MG Oral Tablet [Demadex],HIGH-CEILING DIURETICS
warfarin sodium 2.5 MG Oral Tablet [Coumadin],ANTITHROMBOTIC AGENTS
torsemide 5 MG Oral Tablet [Demadex],HIGH-CEILING DIURETICS
repaglinide 0.5 MG Oral Tablet [Prandin],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
phenytoin sodium 100 MG Extended Release Oral Capsule [Dilantin],ANTIEPILEPTICS
glipizide 5 MG Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
glipizide 10 MG Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
montelukast 10 MG Oral Tablet [Singulair],OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
theophylline 400 MG Extended Release Oral Tablet [Uniphyl],OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
diltiazem hydrochloride 30 MG Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
24 HR Isosorbide Mononitrate 60 MG Extended Release Tablet,VASODILATORS USED IN CARDIAC DISEASES
24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
oseltamivir 75 MG Oral Capsule [Tamiflu],DIRECT ACTING ANTIVIRALS
200 ACTUAT Albuterol 0.09 MG/ACTUAT / Ipratropium Bromide 0.018 MG/ACTUAT Metered Dose Inhaler [Combivent],"ADRENERGICS, INHALANTS"
prednisone 50 MG Oral Tablet,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
24 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
latanoprost 0.05 MG/ML Ophthalmic Solution,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
apixaban 5 MG Oral Tablet [Eliquis],ANTITHROMBOTIC AGENTS
14 ACTUAT fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
Ranitidine 15 MG/ML Oral Solution,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
dorzolamide 20 MG/ML Ophthalmic Solution,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
methylprednisolone 125 MG Injection [Solu-Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
Theophylline 200 MG Extended Release Oral Tablet,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
Azithromycin 250 MG Oral Tablet [Zithromax],"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
sulfamethoxazole 400 MG / trimethoprim 80 MG Oral Tablet,SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE
24 HR isosorbide mononitrate 60 MG Extended Release Oral Tablet,VASODILATORS USED IN CARDIAC DISEASES
levofloxacin 750 MG Oral Tablet,QUINOLONE ANTIBACTERIALS
prednisone 10 MG Oral Tablet,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
sodium chloride 0.111 MEQ/ML Nasal Spray [Deep Sea],ALL OTHER THERAPEUTIC PRODUCTS
Morphine Sulfate 2 MG/ML Oral Solution,OPIOID ANALGESICS
12 HR Theophylline 100 MG Extended Release Tablet,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
24 HR nicotine 0.292 MG/HR Transdermal System,DRUGS USED IN ADDICTIVE DISORDERS
VITAMIN AND MINERALS TABLET,ALL OTHER THERAPEUTIC PRODUCTS
PHENOL CRYSTALS,ALL OTHER THERAPEUTIC PRODUCTS
codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML Oral Solution,OPIOID ANALGESICS
5 ML diltiazem hydrochloride 5 MG/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
amiodarone hydrochloride 200 MG Oral Tablet,"ANTIARRHYTHMICS, CLASS I AND III"
rivaroxaban 20 MG Oral Tablet [Xarelto],ANTITHROMBOTIC AGENTS
polyvinyl alcohol 0.014 ML/ML / povidone 6 MG/ML Ophthalmic Solution,"ANTIINFECTIVES, OPHTHALMOLOGIC AND OTOLOGIC"
erythromycin 0.005 MG/MG Ophthalmic Ointment,ANTIINFECTIVE OPHTHALMOLOGICS
methylprednisolone 40 MG Injection [Solu-Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
sodium chloride 30 MG/ML Inhalation Solution,I.V. SOLUTION ADDITIVES
amoxicillin 875 MG / clavulanate 125 MG Oral Tablet,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
2 ML furosemide 10 MG/ML Injection,HIGH-CEILING DIURETICS
olanzapine 5 MG Disintegrating Oral Tablet,ANTIPSYCHOTICS
labetalol hydrochloride 100 MG Oral Tablet,BETA BLOCKING AGENTS
1 ML naloxone hydrochloride 0.4 MG/ML Injection,DRUGS FOR CONSTIPATION
Fentanyl 0.05 MG/ML Injectable Solution,"ANESTHETICS, GENERAL"
250 ML dopamine hydrochloride 1.6 MG/ML Injection,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
20 ML propofol 10 MG/ML Injection [Diprivan],"ANESTHETICS, GENERAL"
100 ML propofol 10 MG/ML Injection [Diprivan],"ANESTHETICS, GENERAL"
200 ACTUAT ipratropium bromide 0.017 MG/ACTUAT Metered Dose Inhaler [Atrovent],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
chlorhexidine gluconate 1.2 MG/ML Mouthwash,STOMATOLOGICAL PREPARATIONS
lansoprazole 30 MG Disintegrating Oral Tablet [Prevacid],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
2 ML fentanyl 0.05 MG/ML Injection,"ANESTHETICS, GENERAL"
500 ML glucose 50 MG/ML Injection,OTHER NUTRIENTS in ATC
bivalirudin 250 MG Injection [Angiomax],ANTITHROMBOTIC AGENTS
prednisone 5 MG Oral Tablet,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
Hydrochlorothiazide 50 MG Oral Tablet,"LOW-CEILING DIURETICS, THIAZIDES"
nicotine 2 MG Oral Lozenge [Nicorette],DRUGS USED IN ADDICTIVE DISORDERS
psyllium 3500 MG Powder for Oral Suspension [Konsyl],ALL OTHER THERAPEUTIC PRODUCTS
Isosorbide Mononitrate 30 MG 24 Hour Extended Release Tablet,VASODILATORS USED IN CARDIAC DISEASES
doxycycline hyclate 100 MG Oral Capsule [Vibramycin],Tetracycline antibiotics
100 ML glucose 50 MG/ML Injection,OTHER NUTRIENTS in ATC
25 ML diltiazem hydrochloride 5 MG/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
diltiazem hydrochloride 90 MG Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
theophylline 400 MG Extended Release Oral Tablet,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
5 ML sodium ferric gluconate complex 12.5 MG/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
pseudoephedrine hydrochloride 30 MG Oral Tablet [Sudogest],NASAL DECONGESTANTS FOR SYSTEMIC USE
Hydromorphone Hydrochloride 0.2 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
lidocaine hydrochloride 0.02 MG/MG Topical Gel [Glydo],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
pantoprazole 40 MG Injection,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
0.8 ML enoxaparin sodium 150 MG/ML Prefilled Syringe,ANTITHROMBOTIC AGENTS
1000 ML glucose 50 MG/ML / potassium chloride 0.04 MEQ/ML / sodium chloride 9 MG/ML Injection,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
nitroglycerin 0.4 MG Sublingual Tablet,VASODILATORS USED IN CARDIAC DISEASES
ropinirole 0.25 MG Oral Tablet,DOPAMINERGIC AGENTS
trazodone hydrochloride 50 MG Oral Tablet,ANTIDEPRESSANTS
benzonatate 100 MG Oral Capsule,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"
"potassium phosphate 155 MG / sodium phosphate, dibasic 852 MG / sodium phosphate, monobasic 130 MG Oral Tablet [Phospha 250 Neutral]",ALL OTHER THERAPEUTIC PRODUCTS
magnesium oxide 140 MG Oral Capsule [Uro-Mag],ANTACIDS
amoxicillin 50 MG/ML / clavulanate 12.5 MG/ML Oral Suspension,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
clindamycin 150 MG Oral Capsule,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
losartan potassium 25 MG Oral Tablet,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN"
24 HR metoprolol succinate 100 MG Extended Release Oral Tablet,BETA BLOCKING AGENTS
atorvastatin 40 MG Oral Tablet [Lipitor],"LIPID MODIFYING AGENTS, PLAIN"
1 ML Phenylephrine Hydrochloride 10 MG/ML Injection [Neo-Synephrine],CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
250 ML nitroglycerin 0.4 MG/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
neostigmine methylsulfate 1 MG/ML Injectable Solution,PARASYMPATHOMIMETICS
glycopyrrolate 0.2 MG/ML Injectable Solution,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
1 ML Morphine Sulfate 5 MG/ML Injection,OPIOID ANALGESICS
50 ML potassium chloride 0.4 MEQ/ML Injection,I.V. SOLUTION ADDITIVES
1 ML Phenylephrine Hydrochloride 10 MG/ML Injection,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
Metoprolol Tartrate 1 MG/ML Injectable Solution,BETA BLOCKING AGENTS
"250 ML albumin human, USP 50 MG/ML Injection [Buminate]",BLOOD AND RELATED PRODUCTS
valsartan 40 MG Oral Tablet [Diovan],"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN"
rosuvastatin calcium 20 MG Oral Tablet [Crestor],"LIPID MODIFYING AGENTS, PLAIN"
24 HR metoprolol succinate 100 MG Extended Release Oral Tablet [Toprol],BETA BLOCKING AGENTS
28 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair 250/50],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
nitroglycerin 0.4 MG Sublingual Tablet [Nitrostat],VASODILATORS USED IN CARDIAC DISEASES
morphine sulfate 15 MG Oral Tablet,OPIOID ANALGESICS
Losartan Potassium 25 MG Oral Tablet [Cozaar],"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN"
10 ML atropine sulfate 0.1 MG/ML Prefilled Syringe,"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS"
cyclobenzaprine hydrochloride 10 MG Oral Tablet,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
24 HR metoprolol succinate 50 MG Extended Release Oral Tablet,BETA BLOCKING AGENTS
gabapentin 400 MG Oral Capsule,ANTIEPILEPTICS
ropinirole 1 MG Oral Tablet,DOPAMINERGIC AGENTS
miconazole nitrate 0.02 MG/MG Topical Powder [Zeasorb],ANTIFUNGALS FOR TOPICAL USE
metronidazole 0.01 MG/MG Topical Gel [MetroGel],CHEMOTHERAPEUTICS FOR TOPICAL USE
cefepime 1000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
ampicillin 2000 MG / sulbactam 1000 MG Injection,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
12 HR dextromethorphan polistirex 6 MG/ML Extended Release Suspension [Delsym],"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"
lisinopril 10 MG Oral Tablet,"ACE INHIBITORS, PLAIN"
Atenolol 50 MG Oral Tablet,BETA BLOCKING AGENTS
Lisinopril 5 MG Oral Tablet,"ACE INHIBITORS, PLAIN"
methocarbamol 500 MG Oral Tablet,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
Isosorbide Dinitrate 20 MG Oral Tablet,VASODILATORS USED IN CARDIAC DISEASES
insulin detemir 100 UNT/ML Injectable Solution [Levemir],INSULINS AND ANALOGUES
cefazolin 1000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
"0.5 ML Influenza Virus Vaccine, Inactivated, A-H1N1 (A-Brisbane-59-2007) strain 0.03 MG/ML / Influenza Virus Vaccine, Inactivated, A-H3N2 (A-Uruguay-716-2007) strain 0.03 MG/ML / Influenza Virus Vaccine, Inactivated, Influenza B (B-Florida-4-2006) strain",ALL OTHER THERAPEUTIC PRODUCTS
diphenhydramine hydrochloride 50 MG/ML Injectable Solution,ANTICHOLINERGIC AGENTS
12 HR Oxycodone Hydrochloride 20 MG Extended Release Tablet [Oxycontin],OPIOID ANALGESICS
12 HR Oxycodone Hydrochloride 10 MG Extended Release Tablet [Oxycontin],OPIOID ANALGESICS
ascorbic acid 500 MG Oral Tablet,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS"
0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox],ANTITHROMBOTIC AGENTS
Donepezil hydrochloride 10 MG Oral Tablet,ANTI-DEMENTIA DRUGS
hyoscyamine sulfate 0.125 MG Sublingual Tablet,"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS"
2 ML glycopyrrolate 0.2 MG/ML Injection,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
morphine sulfate 20 MG/ML Oral Solution,OPIOID ANALGESICS
bimatoprost 0.3 MG/ML Ophthalmic Solution [Lumigan],ANTIGLAUCOMA PREPARATIONS AND MIOTICS
memantine hydrochloride 5 MG Oral Tablet [Namenda],ANTI-DEMENTIA DRUGS
latanoprost 0.05 MG/ML Ophthalmic Solution [Xalatan],ANTIGLAUCOMA PREPARATIONS AND MIOTICS
Donepezil hydrochloride 5 MG Oral Tablet [Aricept],ANTI-DEMENTIA DRUGS
calcitriol 0.00025 MG Oral Capsule,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
Levalbuterol 0.21 MG/ML Inhalant Solution [Xopenex],ALL OTHER THERAPEUTIC PRODUCTS
100 ML eptifibatide 0.75 MG/ML Injection [Integrilin],ANTITHROMBOTIC AGENTS
quetiapine 25 MG Oral Tablet [Seroquel],ANTIPSYCHOTICS
loperamide hydrochloride 2 MG Oral Capsule,ANTIPROPULSIVES
Levofloxacin 250 MG Oral Tablet [Levaquin],QUINOLONE ANTIBACTERIALS
Levofloxacin 500 MG Oral Tablet [Levaquin],QUINOLONE ANTIBACTERIALS
pemetrexed 500 MG Injection [Alimta],ANTIMETABOLITES
dexamethasone 4 MG Oral Tablet,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
24 HR nicotine 0.583 MG/HR Transdermal System,DRUGS USED IN ADDICTIVE DISORDERS
24 HR nitroglycerin 0.4 MG/HR Transdermal System,VASODILATORS USED IN CARDIAC DISEASES
15 ML dibasic potassium phosphate 236 MG/ML / monobasic potassium phosphate 224 MG/ML Injection,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
amlodipine 5 MG Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
dextromethorphan hydrobromide 2 MG/ML / guaifenesin 20 MG/ML Oral Solution,OTHER NERVOUS SYSTEM DRUGS in ATC
Nystatin 100000 UNT/ML Oral Suspension,INTESTINAL ANTIINFECTIVES
